text,label,lang_detected
"@jordialapreso Es exactamente al revés. La política española y la vida en general continuarán pero en CataluÑa o el independentismo se baja del burro o seguiremos bloqueados hasta que la población los rechace rotundamente, cosa que se está produciendo ya, debido a la aberrante caza de brujas",1,es
@rosamariaartal Yo en Sant Jordi espero no encontrarme a políticos dando rosas. Que no me fastidien el día.,1,es
"ITALIA ha gastado 15 millones de euros en programa de empleo para inmigrantes musulmanes, pero logró que solo 120 trabajen (de cientos de miles)  ?estos ilusionistas ???!!!  #VoxExtremaNecesidad #EspañolesPrimero #DefiendeEspaña #StopIslam #AhoraVOX  https://t.co/CF1WrfwdxT",0,es
"@ochoabravo32 @David_n_Goliat @canilero9 @Julii1985 @jordivergesb @bla_7863 @AlfonsoIXLeon @vlc_JI @CODEXREVISUS @silvia_yucca @Capdecul1 @rumbletoe @lovenjaire @RAGAFO1 @auroraborreal88 @airebros @ElPaco17170917 @LauraFangs @RafaColono @may_adell @JordiMasFont @Morafanova @RamonBerenguerI @barnazen @ap_poch @crmontoro @Jrgen27307674 @kiko0243 @Argumentosepara @JesusFase2 @Ibermensch @states_spain @33Joanot @TabarniaSur @fhaherrera @serem1infern @Blamitter @berguetanu @Oletros @hlcannibal @vivi190473 @mosnunez @nuriapatona @Sam46a @VictorTabarnia @NarSpaniaTietra @DonTenori14 @CDRTabarnia @FerranAntequera @Xipress De vosotros si, la nueva Arrimadas jejejeje, una casada con un indepe y esta indepe.. increíble...  para que veas   https://t.co/bSQnAnTl1y",1,es
Duro artículo de 'The Washington Post':  España está juzgando a su democracia  https://t.co/6bO7H8U5Pk,1,es
Abascal responde al boicot del PSC al gran acto de Vox en Barcelona:  Sois los tontos útiles del separatismo . por @Maiteloureiro_  https://t.co/3HbE5tq5mR vía @libertaddigital,0,es
"Mandar a pegar a personas que tan sólo querían votar  Enviar a prisión preventiva a políticos por poner urnas,cuando varios países de Europa ya han dicho que son inocentes  Un juicio politizado de una justicia sin separación de poderes  ...la imagen exterior de Ñ es cojonuda oiga",1,es
"@pilarc_pilarc Ten, manipuladora 💅💅 se te cayó el  ME ESTAS HABLANDO EN POLACO??  que le suelta el fachamierda primero #ZASCA  https://t.co/XQ08KuVgtI",1,es
"@Anteridio @aldebarando79 @javilm @Nonius9 @TomsGonzlez1 @maxpradera Las pulgas de mi perro no son perro, son pulgas, aunque vivan en mi perro. (en Cat pasa lo mismo con el fascismo unionista ) Y son muy molestas y transmiten enfermedades.",1,es
"RT @claudiperez: “Nunca ha habido un acuerdo con los independentistas”, dice Sanchez. “No había condiciones” para votar a favor de la moció…",1,es
"#rumbournasarv Lo mejor que puede hacer Arrimadas es largarse a Madrid, que en breve se convertirá en el establo general de la ultraderecha.",1,es
"Que manía de preguntar a @Lroldansu si @CiudadanosCs pactará con Vox, es una fuerza de momento extraparlamentaria y además aún no conocemos su programa, lo que tenemos claro es que no pactaremos con quien quiere romper España! #ObjetivoElecciones https://t.co/aUcKsMpSEt",0,es
"@danidl Ya ves, las preocupaciones de C's son no pactar con el PSOE ante todo y bajo ningún concepto (y mira q eso podría dejar  sin ningún poder a los indepes). Q esta gente vaya por ahí contemplando q todo el mundo tenga un arma en su casa, nada que mencionar, supongo.",0,es
"Me encantaría que me hubieran citado a declarar como testigo del #JuicioProcés para explicar el miedo, la angustia, la preocupación, el insomnio, la tristeza, la soledad y el resto de emociones negativas e intensas que sentimos en septiembre y octubre de 2017.",0,es
"@verumfabula64 @PtfLaSilenciosa @joseantich @elnacionalcat Y el Parlamento está sometido al control judicial Recuérdaselo a los independentistas, que tienen memoria selectiva y esta parte no les mola 😜",0,es
"Empieza @junqueras demostrando su capacidad oratoria. Los están convirtiendo en héroes. Muchas gracias, estado español.  #JudiciaALaDemocràcia #JudiciFarsa #JudiciProcés #JudiciaCatalunya",1,es
"Maduro, una pregunta: ¿ De verdad, tú vas a ordenar que militares y civiles armados disparen a matar contra ese río humano de ciudadanos venezolanos, desesperado por pan y libertad?  ¿Y Uds, militares acometerán ese crimen de lesa humanidad?  https://t.co/R09IaHxFTC",2,es
@ghoficial @XLoganLobeznoX Sofía a la calle no nos toméis el pelo,2,es
"RT @JotaMSilvaA: EuroVisión del padecimiento. #Puigdemont y el grito de Munch, por Xavier Sardà https://t.co/SX8uNDxCYo",0,es
Pues yo creo que sí nos quitan a Arrimadas de Cataluña debería ser para ir de número 1. Para ir de nº 2 mejor que no nos deje. #EsLoQuePienso,0,es
Vergonzoso ataque de Álvaro Ojeda a Àlex Granell por dar apoyo a los presos | vía @En_Blau_es https://t.co/h7vwgIQmJm,1,es
"Viendo quién está apoyando al golpista de Guaidó, me reafirmo que estamos en el lado correcto compañer@s. Casado, Rivera, Abascal, Sánchez, Carmena, Trump, Macrón, UE, y este individuo????, apoyan el golpe. https://t.co/fr2nzCI2GR",1,es
"@spaincrisis Yo he soñado esta noche que el Congreso Madrileño,  estaba lleno de diputados Catalanes  indepe!! Me he levantado de contenta!???? Yo votaré!",1,es
El actual presidente de la Cámara catalana reivindica un segundo referéndum para solucionar la crisis territorial: “Tengan presente que volveremos a votar” @sergiquitian https://t.co/FIwhhE4gXh,2,es
"¡Atentos!: El lobby del juego se reunió con 96 políticos españoles en 2018 para presionar a favor del sector. Y aparecen estos nombres: Pío Cabanillas y Rafael Catalá (Codere) al exdiputado Andrés Ayala (Orenes), ¿ #MáspartidopopularMásIgualdad o #MáspartidopopularMásLudopatía ?  https://t.co/DRoKJiMKU7 https://t.co/IZ3IbBhkOd",1,es
"@xriusenoticies Más allá de que pinte mal para Trapero, pinta mal para Forn y para todos. Esto está orquestado desde arriba. La orden y el guión parten de la GenCat, pasan por ANC y Omnium, Mossos, CDR's y grupos varios. ¿TÍTULO DE LA PELÍCULA?  Todos eran golpistas y un poco imbéciles? 😂😂😂😂",0,es
¿Quién si no Ciudadanos iba a resucitar a Puigdemont para la campaña de las generales? En este show que nos debilita a todos como país se necesitan los unos a los otros.   Puigdemont recoge el guante de Arrimadas y la recibirá en Waterloo https://t.co/RjJlkoEw5a,1,es
Vilalta alerta de que el PSOE quiere aprovechar la no tramitación de los Presupuestos “para hacer electoralismo” a costa del independentismo @alextortsagues https://t.co/65U67EZ2tm,2,es
"¿Alguien conoce algún argumento a favor de la independencia de Cataluña? Quiero hacer un hilo contraargumentándolos pero se me ocurren pocos... @gabrielrufian, ¿me ayudas?",1,es
Parte de la izquierda en este país ha comprado el relato de los separatistas. Colau o Iceta son ejemplos de personas que avalan el discurso de los mediadores-relatores https://t.co/XBRRq6s9MR,0,es
"El @PSOE no va apoder gobernar en la próxima legislatura sin el apoyo de los partidos independentistas. EH Bildu va a permitir parar a la derecha y poner encima de la mesa una negociacion con el Estado en termino de país, no en términos de partido  https://t.co/8rX9PloiG8",1,es
Tras el linchamiento 'indepe' a Montserrat del Toro en redes https://t.co/GIV4vmqv8u,0,es
?? El único cambio que se debe realizar en la avenida Príncep d'Astúries es renombrarla por Princesa de Asturias.  #Colau quiere un cambio de nombre para complacer a los separatistas con vistas a futuros pactos en Barcelona.  https://t.co/VVMuxlMpEW @20m #YoConBOU,0,es
"@XavierRosMartn2 @julia_otero Tienes razón q Cataluña está a años luz de Esp En Cataluña se vive en un régimen dictatorial al son de lo  adicta el Govern y sus medios de propaganda,  lo más parecido a la sociedad indepe es Corea del Norte",0,es
Junqueras només respon a les preguntes de la seva defensa https://t.co/vTwqWAL1wF #OriolJunqueras #judiciproces #Junqueras,2,es
Ada Colau no participará en el besamanos al rey con motivo de la cena del Mobile World Congress por considerar que es  un acto de pleitesía y vasallaje impropio de una democracia del siglo XXI .  https://t.co/0zsElNdE8V #FelizMartes,1,es
Arrimadas podría anunciar su salto a la política nacional hoy mismo https://t.co/xxmPygKLhF,2,es
"De que vais escoria humana? Buscáis guerra, y vais a tener que hacerla vosotros contra vuestras propias paranoias. Tan solo sois unos malnacidos a las órdenes de un PISTOLERO que se cree un dios. Y os vamos a reventar en las urnas el 28A  #ApuntaMiNombreVox https://t.co/yXFccZSDcv",1,es
No entiendo la pregunta esta:  Es usted socio de ANC y de Òmnium? .  A ninguno de los interrogados por la Gurtel o las tarjetas Black les preguntaron si su gobierno daba subvenciones a la Fundación Francisco Franco.  #JudiciRAC1 #JudiciTV3CatRàdio,1,es
??El @PSOE con @sanchezcastejon ha traicionado a todos los Catalanes que defendemos la unidad de España!   Declaraciones de nuestro Presidente @alejandroTGN en el #Parlament. #SanchezDimisión https://t.co/bHxAUZzVMe,0,es
@QuimTorraiPla A lo mejor no solo no lo aceptamos sino que le damos la bienvenida a un poco de decencia socialista que diga que ya está bien de tanta tontería y cesión a políticos separatistas y golpistas. La justicia os espera. A todos.,0,es
RT @JacmePoch: Inés Arrimadas quan posi el peu a Madrid per a quedar-s'hi:   Soy madrileña. Esta es mi tierra. ,1,es
"INDIGNACIÓN TOTAL DE TODA LA COMUNIDAD POR ESTA NOTICIA  ¡Y bomberos y forestales MANIFESTÁNDOSE y creando altercados de uniforme con TOTAL IMPUNIDAD!  Asuntos Internos cita a declarar al mosso del  La república no existe, idiota   #comparte si te indigna  https://t.co/Uxv3SvPIki",0,es
Para Ada Colau todos tienen lengua materna menos los que hablan español. #DolcaCataluña #jacobialcalde #Barcelona #tabarnia  #España https://t.co/uzxoHnlyWl,0,es
📹 No os perdáis como el periodista Xavier Rius desmonta todas las mentiras del separatismo en menos de cinco minutos. Lo podéis ver en el siguiente enlace. https://t.co/GPQbNVJo1n,0,es
"Además, los medios de comunicación árabes bombardean constantemente a la población con toda una estrategia para demonizar a los españoles. Algunos políticos árabes los califican de terroristas, golpistas y criminales. Les acusan de violentos cuando solo fue violenta su policía.?",1,es
"El mismo libreto que Jose Antonio Nieto al afirmar que no hubo cargas policiales. Si escribes en Google,  cargas policiales 1 octubre  se le cae a uno la cara de vergüenza. https://t.co/EhV2dOWIgY",1,es
"?Padraic Kenna: “Mientras a los bancos les interese que el precio de la vivienda sea alto, los políticos no podrán hacer nada  https://t.co/xfRxY37j5k",2,es
RT @CONCHA_ZARAGOZA: El funcionariado hunde a la defensa de los golpistas https://t.co/alYsRyzrVt vía @libertaddigital,0,es
"TIC tac TIC tac #inesssss ! Cuidaooo!! Que venen drones indepes a tot arreu 😂😂 Bonito día te ha quedado hoy, jefa  🙄🙄🙊🙊 @jcanadellb https://t.co/xoHR1rxrgP",1,es
"Si ofreces competencias para lograr satisfacer a ese nacionalismo, siempre habrá cosas para sentirse insatisfecho. Es un error querer satisfacer al nacionalismo con más competencias   https://t.co/e10EuoWUSe",0,es
"Qué calladitos estáis,  golpistas fascistas....no os está gustando mucho el juicio, ehhhhhhh???  Golpistas,  fascistas y violentos.....sois más chulos que un ocho 👏👏👏",0,es
Os he contado que yo trabajo con unos cuantos indepes??  Pues eso!!! ?,2,es
"#Pensamiento |  Causa sonrojo o vergüenza ajena escuchar a Quim Torra cuando manosea conceptos como democracia o libertad , por @manupediaz_  https://t.co/jatNmWbMsp",0,es
"@OsoIngeni @HiginiaRoig A huevo.. 100 heridos entre 2000 colegios - - &gt; 0,05 policías heridos x colegio...  Vaya rebelión de mierda!!!..  Mucho ruido de tumulto y pocas nueces... 😂 😂  Tergiversa i difama que algo queda...🇪🇸 #ThisIsTheRealSpain #NiOblitNiPerdó #JudiciFarsa",1,es
@usuku A mí me sorprende el buenísimo de aquellos que les apoyan sin ser indepes.  Les dices: no son superiores ni diferentes ni mejores. Solo quieren deshacerse de lo q creen inferior y una carga. Y no lo ven. Es más guay apoyar a los burgueses. luego van de solidarios. Q tecla tocan?,0,es
Los CDR siguen campando a sus anchas por toda CAT. Hasta el punto de que ya no sólo se atreven a acosar a jueces y políticos a atacar sedes judiciales. Han ido un paso más allá y han atacado con pintura amarilla el cuartel de la GC de Vic. #LaSilenciosaCat https://t.co/TUTakGqoto,0,es
@enoticiescat alguien mencionará a la bien pagà Mónica Terribas y sus llamadas desde @maticatradio  para conocer desplazamientos de vehículos @guardiacivil y @policia   ¿? #JudiciTV3CatRadio #JuicioDelProces    https://t.co/RXUH0A3TKd,0,es
"Este tipo cuyo cargo no ha sido votado, que su título es impuesto por un dictador fascista y cuya familia (su fuente de  legitimidad ) es un nido de opacidad, corrupción y latrocinio, nos da lecciones de democracia. https://t.co/hRWpaBRqsy  A la porra.",1,es
"Trivagos, Hooligans, Sin Vergüenza: ladran antes de su “jauría” dominguera.  #ReclamamosRepública  ?Para ilegalizar a los condenados por corruPPción. ?Desenmascarar a mentirosos que paC’stan Paquí Pallá. ?Combatir el fascismo de los perros V?Xeros.  ¡NO PASARÁN! ???? https://t.co/EXY07QbsW7",1,es
"@mtgarcia82 @CristinaNarbona @AmparoRubiales @mjpartera @marisaparrilla @mruiz_gema @ArredonMari @veigacarmen @leirediezpas @MarCostaDB @feli_bondia El #28deAbril todas/os, la Izquierda, los progresistas, los ciudadanos con sensatez y sentido común tenemos q ir a #VotaPSOE  #SiemprePSOE  #YoConPedro",0,es
"@AndreuRomani @mossos El de el Hospital de sant Esteve se piensa el ladrón que todos somos de su condición. Pides grabaciones, vídeos como hacen los indepes de los lazitos amarillos que todo lo premeditar y preparan para maquinar y urdir intrigas.? Vete y acuéstate en un cama del Hospi!. Ay, no hay!!!",0,es
En un país normal Irene Lozano  ( ex UPyD ) habría dimitido por comparar votar con violar y por pasarse la presunción de inocencia por el entreforro.  Pero en España la premiarán.  #Psoe  #JoAcuso  #FakeSuprem,1,es
"Ponte en situación y atrévete a levantar la voz para discrepar, rodeado de simbología golpista con el supremacista jefe y todos sus cortesanos coreando en un hospital, sí,un HOSPITAL!!!  https://t.co/uY3JywjHy7",0,es
"@JLambanM @sanchezcastejon Cáncer? Faltando al respeto a los q han sufrido un cáncer. La independencia d CAT es un proyecto tan legítimo como la unidad ESP! Si hay 2,3 millones d independentistas y creciendo, cómo vas a extirpar? Estilo Franco? Habrá q recurrir más bien a referéndum. O quieres imponer ESP?",1,es
#ÚLTIMAHORA: Soraya Rodríguez se da de baja en el PSOE por discrepancia profunda con la política del partido con el independentismo https://t.co/7oHQWU94BN,2,es
"Albert Rivera haciendo campaña,luego no vengáis diciendo que no lo sabíais,por cierto este caballero en contra de la subida del SMI de Podemos,para el hay prioridades y queda claro que no es la gente y sus necesidades #EleccionesGenerales28Abril #SISePuede https://t.co/AO9x4wiqFZ",1,es
@EspanaGlobal @UNESCO_es @lozanoirene (directora de @EspanaGlobal ):   Votar en un referéndum ilegal es como cometer una violación sexual   El entrevistador se escandaliza de sus palabras. Nacionalismo español en grado máximo. #FreeCatalanPoliticalPrisoners  #RepublicaCatalana #Cataluña https://t.co/RJoRQnpEQ8,1,es
"RT @LaLupaJudicial: El miércoles comienzan las testificales. Primero los políticos y después los testigos...es decir, lo interesante. https…",0,es
Empresarios independentistas concurren a las elecciones a todas las cámaras catalanas https://t.co/9o8o5WvXiL #economía,2,es
"Después de escuchar a Roger Torrent ayer, @rogertorrent , creo que debe ser de @vox_es ...por que vamos, tengo cada vez más claro que en el Parlament de Catalunya @govern debe existir una fuerza como VOX para molestar a los independentistas.",0,es
"@eldiarioes Es una vergüenza que en España haya gente mintiendo delante de un juez y aquí no pasa nada. Que todo no fué proporcional lo sabe medio mundo,.. Y hasta el PSOE presentó una queja contra SSS. El 80% de Cataluña está flipando. De esta injusticia saldrá un 80% de indepes.",1,es
"@sanchezdelreal @ArnaldoOtegi limpiate la boca cuando hables de la #GuardiaCivil y nombres la palabra #Paz. La @guardiacivil es el Cuerpo de Seguridad con mayor #códigodehonor y el q + ha sufrido la violencia de tu banda #ETA, esa #bandaTerrorista cobarde, deleznable.",0,es
"@jaumesomet @elnacionalcat @en_blau Había lo menos 3 o 4 esteladas, lo que hay que ser es muy corto para relacionar independentismo o unionismo con unos marroquíes que casi no saben ni hablar castellano. Es como si yo digo ahora que son futuros votantes indepes.",0,es
@ElSastrin @Juanmi_News 😂😂😂😂 Estos se piensan que en Canada no vieron las imagenes!! Como hace frio el twitter estaba congelado el 1 de octubre de 2017.,1,es
"@Vic_tana @KartoffelSC @DoradoAlex @govern @QuimTorraiPla No se q entiendes por nacionalismo, pero yo tpc lo quiero, y por supuesto nada identitario/étnico, ni parecido al proceso yugoslavo.  Hablo solo d decidir democráticamente como se organiza cualquier Sociedad.",1,es
"En el lugar de O Coto en San Juan,  sobre el Rio Deva se alza el #Puente románico , testigo #Historico de la #ballada de la #Independencia que se libro contra los #franceses en #Febrero de 1809, es #Historia única que nos #identifica @Rescata_Patrim @arquipopular https://t.co/qZ1F9StfWG",1,es
"@bsrbcn @MariadelMarMen9 @tuitegem Díselo a tu compañera de hilo, que va generalizando y clasificando en dos bandos: indepes y no-indepes.",1,es
#QueNoEnsEnfrontin Divide y vencerás. A quien pone el lazo amarillo y a quien lo quita... La Banca y el FMI se quedan con su guita💸💸💸 https://t.co/s2mzvaQ8Kl,0,es
Es incomprensible como C`s está desapareciendo por voluntad propia de Cataluña tras su victoria en las autonómicas. Primero sacrificaron las siglas y ahora a Arrimadas. Y todo para hacerle hueco al impostor francés de Valls. Va a ser verdad que los gobiernan desde París,0,es
Alejandro Fernández va a Madrid a pedir un nuevo 155:  Es una solución política  vía @elnacionalcat_e https://t.co/EbSvdEegCn,0,es
El  guardia civil suspendido por grabar desde dentro del  coche policial tras el furgón de los golpistas actuó mal. Pero eso es un expte. y una falta leve. Suspenderlo de inmediato es una evidencia de la desvergüenza del director general y los políticos de Interior. Cobardes.,0,es
@premiolonuestro @AbrahamMateo Desde España estaremos pendientes de su salida!!???,2,es
"He podido hablar a la hora de comer con un socialista de los de siempre, con principios, con sentido de estado, con dos dedos de frente y solo puedo decir #SanchezDimisión",0,es
Sánchez no  se cierra  a volver a pactar con los independentistas tras las elecciones del 28 de abril https://t.co/bgtEexS49K,0,es
El Ministerio del Interior veta que el president lleve seguridad oficial de Mossos en el acto que compartirá esta tarde con Puigdemont https://t.co/ChzBka429w,2,es
"@profEHRBAR @78GARBO @Bernat_Deltell Están deseando que los catalanes, monten un follón, de tres pares, que haya violencia y así decir que esto es terrorismo y no tiene nada que ver con la independencia, es así, son así, solo buscan que su relato violento sea eso, violento",1,es
"RT @Tiofaja_oficial: Deberías aprovechar que están los presos en Madrid, para contarnos que Aravaca no es Harvard, so facha.. https://t.co/…",1,es
Peter Gabriel apoya la causa democrática de Catalunya. El apoyo internacional empieza a ser contundente y deja en evidencia al estado Español. #judiciproces https://t.co/7KH9kXMsZI,1,es
🔴 La Fiscalía investiga a los independentistas que han difundido la fotografía de la secretaria judicial del 1-O.  Son así de ratas y de miserables. https://t.co/d9kyDaKE5Z,0,es
Una grabación desvela el presunto cobro del PSOE andaluz de comisiones del 33% a empresas subvencionadas https://t.co/AJtiLaHYvq. Seguimos Con La Corrupción del PSOE .Ni el 3 ni el 4 .El 33% Señores.Y los va a Votar Rita La Cantaora .En Las Generales #elecciones2019votoderechas,0,es
"Os traduzco: como no respetamos la democracia, obviamos las mayorías parlamentarias necesarias e imponemos nuestras medidas en contra del pueblo. https://t.co/aCVOFPU1XR",0,es
"Todo lo que se dice acerca de 'restaurar la democracia' en Venezuela es solo un encubrimiento para configurar países latinoamericanos según los criterios estadounidenses , reiteró el director del departamento de América Latina de la Cancillería rusa https://t.co/WPk7PM4Kq6",1,es
"@tonialba Eres una excelente muestra de que hoy en dia en los círculos cercanos al govern, no es el talento lo que hace triunfar. Ni siquiera la gracia o la profesionalidad",0,es
"El ex consejero y actualmente fugado de la justicia, Toni Comín, pide al separatismo que suba la tensión en Cataluña. https://t.co/kY87O32MGR",0,es
"@FerranSedo @jordi_canyas La verdad la sabe ella y los que iban con ella, nadie más y quién determina si es verdad o no es un juez. Eso es de primero de democracia, algo que escasea en Catalunya.",0,es
Es que ya estoy viendo a Puigdemont sacando una bandeja de pastitas e invitando a Arrimadas a un té demostrando lo dialogante y buenrrollista que es. Pero a quién se le ocurre darle al prófugo esa tarde de gloria?,0,es
Lo dice la sumisa del 155. Pues no dimitió entonces y bien se arrodillo bajo las mesas de sus represores. Y eso tiene un nombre https://t.co/sDv6qicrt2,0,es
De los Cobos:  Se decía que se estaba intentando aplicar el artículo 155 por la puerta de atrás .  Se hizo uso de la fuerza en probablemente 100 colegios electorales   Marchena decide dar por acabada la sesión de hoy y seguir mañana a partir de las 9:30h https://t.co/EGHNZG1bqs,1,es
"🔴Aquí el tuit, ya borrado, al que se ha referido Millo en el juicio. ¿El autor? Toni Alba. Se publicó mintiendo sobre el origen de la foto, sugiriendo que se trataba de un herido el 1 octubre. https://t.co/7LeKzrMHfC",0,es
"Te cuentan en directo como la policía entra 'sin hacer uso de la fuerza' en el colegio de Puigdemont el 1-O. Pero resulta que entraron destrozando las puertas, en el interior había prensa internacional conectando en directo. https://t.co/ATf1GEGL7V",1,es
"Pues Yo me he levantado sintiéndome ciudadano del imperio Cartaginés. Exijo poder autodeterminarme como ciudadano de Carthago inmediatamente mediante referéndum en el que puedo votar únicamente yo. Autodeterminarse no es un delito, Estado Español fascista. https://t.co/3rXIZToiw5 https://t.co/Mr9ARxG8Lk",0,es
RT @AureliopolarA: #SiguemeYTeSigoVOX Aquí estoy . Votando a vox desde las primeras elecciones a las que se presentaron,0,es
"@Pioloncito @manuelgil_uso @OPR_elgrito @Alberto05703197 @Rlvrlvrlv @EspeRevolucion @jaumesingla @jjuliasole @muaythaiBJJMMA @serlagon @FaroRojo1 @RecortesCeroMu @J_Zaragoza_ @UnionIberica @adrian0gonzale1 @AndreuRomani @Oscar10241884 ¿Una república burguesa, como la yanqui, la alemana o la francesa, dónde siguen mandando los mismos y se cambia de explotador? De eso nada, yo estoy por la República Democrática Popular, dónde el poder sea DE VERDAD de la gente.",0,es
"@pablocasado_ Lo dice el presidente del primer partido condenado por corrupción, que tiene casos abiertos, políticos condenty en la cárcel, que paga en dinero B, y que pacta con partidos de la extrema derecha. Todo muy legal si ??",1,es
"El presidente lamenta que el independentismo “tiene pavor a sentarse a dialogar”, pero no descarta pactos. “Tampoco me cierro a Cs, Podemos o el PP” @merinooooo https://t.co/U4qbALCQzZ",2,es
"“No les di órdenes sobre el referéndum , ha dicho Forn sobre los Mossos https://t.co/YHRgOAx6DS",0,es
El prófugo Puigdemont se ha colado en una exposición sobre el catalán en el Parlamento Europeo. Le acompañaban el resto de fugados. El pobre se alimenta de esos numeritos para aparentar que pinta algo en Europa y así convencer a los catetos🎗️para apuntarse a la Crida por 10€. https://t.co/Yj1thkipVG,0,es
Pues a mí no me parece tan descabellado. Es una noticia esperanzadora. Un noticia que nos transmite que el nacionalismo tiene cura. https://t.co/PmFluEpZ40,0,es
@rogertorrent ha convertido el #Parlament en el club privado de los separatistas e impide que el partido más votado en Cataluña defienda a todos los catalanes. https://t.co/jo7LCgCDXX,0,es
"RT @FulvioCapitanio: @gallifantes no cantes victoria, todavía le queda la carta del 155 🤨",1,es
"@rumbopropio @bcnviafora_eng Recuerdo perfectamente, como ese dia, desde medios radiofónicos afines al prusés, hicieron llamamientos a la movilización. Si no veo a estos tipos entre rejas, dejo de confiar en la justicia española. #JuicioProces",0,es
@MonDiari Pero si q estás de acuerdo q paguemos  la mrda de campaña de España para limpiar su imagen deteriorada y sin futuro!. Sabes que? preferimos pagar antes 1000 agentes privados para proteger a nuestro President Puigdemont! @KRLS,1,es
"RT @TioBarbas26: No dice ni del asesinato, ni de los motivos para tomar la decisión de asesinarlo. https://t.co/mcyVtuOjQD",2,es
"En cuanto al diálogo, todos saben (y admiten) que la crisis catalana, con un empate catastrófico entre indepes y no indepes, es una apuesta de largo plazo que solo es viable si no alcanza el poder el frente nacional tradicionalista de PP, Cs y Vox. Que pide ilegalizaciones y 155.",2,es
"Chile se volvió un país corrupto, empresarios prebendarios, políticos corruptos e instituciones débiles. Por eso es tan importante que la sociedad civil se empodere y saque la voz. El principal activo de nuestro país era la honestidad.",0,es
El tenista destacó que la solución al conflicto pasa por la convivencia https://t.co/GnaCmEPzIT,2,es
"Durante años he visto como en Cataluña se establecía el discurso único separatista. No ha habido contradiscurso por parte de los constitucionalistas. No es que haya fallado, es que no ha habido. Ya iba siendo hora de que la gente hable sin reparos (al menos fuera de Cataluña)",0,es
"@BeatrizTalegon @jorditurull Está siendo un juicio precioso: cada uno tira para un lado, todos culpan a los demás. Uno se defiende con chulerías políticos. Otros intentan salvar el pellejo. Y los que ni se enteran de nada. Aplauden.",0,es
"Vara considera que el votante  debería castigar al partido que se niega a dialogar  https://t.co/NUCNsTG8IK. No te Equivoques.El Votante Va A Castigar ,a TÚ Partido,al qué Dialoga Con Filoetarras e Independentistas.Por eso  YO ?? #elecciones2019votoderechas",0,es
"@govern @QuimTorraiPla La mayoría de Catalanes queremos quedarnos huérfanos (políticamente) de ti, eres una lacra para la democracia y libertades de todos sus habitantes ¡lárgate Ya! Y dejanos vivir en paz",0,es
El periplo de los familiares de los presos políticos: 1400 km por 40 minutos de cristal https://t.co/4Zo9O4iPh2,1,es
